               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021303,           0.0091988,            0.011718,             0.90073,              0.8719,             0.94263,               0.804,           0.0067895,           0.0022141,           0.0033756,           0.0096634,           0.0096634,           0.0096634
                  36,             0.02027,           0.0091359,            0.010946,             0.88413,             0.88889,             0.94736,             0.84523,           0.0057551,           0.0020236,           0.0032472,           0.0096535,           0.0096535,           0.0096535
                  37,             0.01966,           0.0090771,            0.011154,             0.84771,             0.90994,             0.95293,             0.83198,           0.0070462,           0.0020523,           0.0037269,           0.0096436,           0.0096436,           0.0096436
                  38,            0.020283,            0.009111,            0.010394,             0.88497,             0.92028,             0.95511,             0.85872,           0.0069203,           0.0020665,           0.0032531,           0.0096337,           0.0096337,           0.0096337
                  39,            0.019027,           0.0087931,           0.0098685,              0.8976,             0.88208,             0.93789,             0.84836,           0.0057455,           0.0021551,            0.003474,           0.0096238,           0.0096238,           0.0096238
                  40,             0.02075,            0.009043,            0.010671,             0.58894,             0.94406,              0.7757,             0.52203,            0.010845,           0.0039499,           0.0096972,           0.0096139,           0.0096139,           0.0096139
                  41,            0.020929,           0.0087783,            0.011921,             0.86616,             0.89969,              0.9454,             0.82604,           0.0063198,           0.0021335,           0.0034722,            0.009604,            0.009604,            0.009604
                  42,            0.018726,           0.0090438,            0.010737,             0.85742,             0.93217,             0.94816,             0.79845,           0.0071995,           0.0021247,           0.0033382,           0.0095941,           0.0095941,           0.0095941
                  43,            0.017098,           0.0086975,            0.010281,             0.90825,             0.86603,             0.94583,             0.82855,           0.0063427,           0.0021504,           0.0033731,           0.0095842,           0.0095842,           0.0095842
                  44,            0.018955,           0.0089396,            0.010283,             0.89199,             0.88912,             0.94747,             0.85748,           0.0055863,           0.0019605,           0.0034047,           0.0095743,           0.0095743,           0.0095743
                  45,            0.016926,           0.0086953,           0.0093247,             0.85663,             0.92593,             0.95273,             0.84167,           0.0055628,           0.0019914,           0.0032764,           0.0095644,           0.0095644,           0.0095644
                  46,            0.018601,           0.0087475,            0.010812,             0.90974,             0.88028,              0.9427,             0.84068,           0.0069333,           0.0019371,           0.0031843,           0.0095545,           0.0095545,           0.0095545
                  47,            0.019026,           0.0092025,            0.011232,             0.85701,             0.88894,             0.93824,             0.82698,           0.0053403,            0.001981,           0.0033478,           0.0095446,           0.0095446,           0.0095446
                  48,            0.019692,           0.0086174,             0.01209,             0.89682,             0.88131,             0.93724,             0.83083,           0.0059967,            0.002066,           0.0031942,           0.0095347,           0.0095347,           0.0095347
                  49,            0.018322,           0.0088138,            0.010682,             0.89575,             0.87443,             0.92932,             0.81691,           0.0064403,           0.0020864,           0.0036877,           0.0095248,           0.0095248,           0.0095248
                  50,            0.017422,           0.0088387,            0.011015,             0.89487,             0.87976,             0.94123,             0.84333,           0.0055842,           0.0019292,           0.0032249,           0.0095149,           0.0095149,           0.0095149
                  51,            0.017366,           0.0086415,            0.010267,             0.86787,             0.89655,             0.94348,             0.83125,           0.0062728,           0.0020081,           0.0033707,            0.009505,            0.009505,            0.009505
                  52,            0.018964,           0.0086487,            0.012374,             0.90062,             0.88272,             0.94956,             0.83398,           0.0056267,            0.001942,           0.0031958,           0.0094951,           0.0094951,           0.0094951
                  53,            0.016899,           0.0085422,           0.0099957,             0.89934,             0.87654,             0.94648,             0.84477,           0.0051531,           0.0020407,           0.0031541,           0.0094852,           0.0094852,           0.0094852
                  54,             0.01778,           0.0086937,            0.010418,             0.85473,             0.90847,             0.94881,             0.85979,           0.0051898,           0.0018964,           0.0030185,           0.0094753,           0.0094753,           0.0094753
                  55,            0.017544,           0.0085678,            0.010664,             0.82816,              0.9321,             0.95032,             0.84075,           0.0056604,           0.0020819,           0.0033411,           0.0094654,           0.0094654,           0.0094654
                  56,            0.019295,           0.0084784,           0.0099716,             0.90402,             0.88111,              0.9328,             0.83442,           0.0054327,           0.0019764,           0.0033458,           0.0094555,           0.0094555,           0.0094555
                  57,            0.016695,           0.0083117,           0.0095952,             0.86411,             0.92303,             0.95074,             0.83412,           0.0054225,           0.0020467,           0.0033284,           0.0094456,           0.0094456,           0.0094456
                  58,            0.018371,           0.0086223,            0.010267,             0.82682,              0.9338,             0.95263,             0.83401,           0.0066532,           0.0020487,           0.0033456,           0.0094357,           0.0094357,           0.0094357
                  59,            0.017083,            0.008584,            0.011362,             0.77921,               0.939,             0.95171,             0.85717,           0.0052996,           0.0019211,           0.0039421,           0.0094258,           0.0094258,           0.0094258
                  60,            0.016196,           0.0082365,            0.010087,             0.91334,             0.87029,             0.94965,             0.86836,           0.0050178,           0.0019306,           0.0030047,           0.0094159,           0.0094159,           0.0094159
                  61,            0.016495,           0.0085361,            0.011136,              0.8066,             0.93648,             0.94548,             0.84778,           0.0050192,           0.0018744,           0.0036859,            0.009406,            0.009406,            0.009406
                  62,            0.016387,           0.0085194,           0.0089862,             0.90505,             0.87414,             0.95187,             0.85724,           0.0054522,           0.0019068,           0.0031377,           0.0093961,           0.0093961,           0.0093961
                  63,            0.017463,           0.0082684,            0.010361,             0.90106,             0.87284,             0.95216,             0.85817,           0.0066095,           0.0021274,           0.0031572,           0.0093862,           0.0093862,           0.0093862
                  64,            0.016975,           0.0085956,           0.0095648,             0.87089,             0.88994,             0.93878,             0.84507,            0.005136,           0.0018598,            0.003273,           0.0093763,           0.0093763,           0.0093763
                  65,            0.016074,           0.0083679,           0.0091338,             0.88758,             0.90131,             0.94454,             0.84004,           0.0056272,           0.0020215,           0.0034464,           0.0093664,           0.0093664,           0.0093664
                  66,            0.017132,           0.0083845,            0.010977,             0.91828,             0.87135,             0.94428,             0.84173,           0.0058752,           0.0019368,           0.0031166,           0.0093565,           0.0093565,           0.0093565
                  67,            0.017071,             0.00858,             0.01111,              0.8717,             0.90295,             0.93848,             0.80626,            0.005905,           0.0022101,           0.0034949,           0.0093466,           0.0093466,           0.0093466
                  68,            0.017111,           0.0085676,           0.0097006,             0.91332,             0.89722,              0.9519,             0.85343,           0.0054036,           0.0021921,            0.003037,           0.0093367,           0.0093367,           0.0093367
                  69,            0.015931,           0.0084681,            0.011184,             0.91093,             0.87572,             0.95031,             0.85729,           0.0048108,           0.0019295,           0.0031067,           0.0093268,           0.0093268,           0.0093268
                  70,            0.017195,           0.0086339,           0.0090813,             0.87277,             0.89037,             0.95157,             0.84161,           0.0058738,           0.0021145,           0.0031922,           0.0093169,           0.0093169,           0.0093169
                  71,             0.01703,           0.0083733,            0.010227,             0.81644,             0.95062,             0.94599,             0.84865,           0.0049302,           0.0019624,           0.0030106,            0.009307,            0.009307,            0.009307
                  72,            0.017723,           0.0086799,            0.011898,             0.80248,             0.95069,             0.94556,             0.85571,           0.0052581,           0.0020157,           0.0036264,           0.0092971,           0.0092971,           0.0092971
                  73,            0.014865,           0.0084374,           0.0085997,              0.8325,             0.94444,             0.95225,             0.85495,           0.0053228,           0.0020115,           0.0032426,           0.0092872,           0.0092872,           0.0092872
                  74,            0.016765,           0.0082032,            0.011117,             0.83358,              0.9321,             0.94704,               0.853,           0.0052506,           0.0018056,           0.0031885,           0.0092773,           0.0092773,           0.0092773
                  75,            0.014898,           0.0082663,           0.0088627,             0.80757,             0.96296,             0.95404,             0.85822,           0.0052534,           0.0018716,           0.0034925,           0.0092674,           0.0092674,           0.0092674
                  76,            0.015762,           0.0084931,           0.0099864,             0.83015,             0.91577,             0.94739,             0.84434,           0.0056899,           0.0019441,           0.0034613,           0.0092575,           0.0092575,           0.0092575
                  77,            0.016029,           0.0083645,           0.0091625,             0.85745,             0.90748,             0.94767,             0.84512,            0.005722,           0.0020901,           0.0033546,           0.0092476,           0.0092476,           0.0092476
                  78,            0.016279,           0.0086538,             0.01072,             0.90279,             0.86765,              0.9418,             0.83634,           0.0052031,           0.0019221,            0.003961,           0.0092377,           0.0092377,           0.0092377
                  79,            0.017388,           0.0082856,            0.009145,             0.84773,             0.93623,             0.95106,             0.85391,           0.0058092,           0.0019331,           0.0032462,           0.0092278,           0.0092278,           0.0092278
